GivenName,Surname,StreetAddress,City,Latitude,Longitude,TelephoneNumber,EmailAddress
Stephanie,Dawes,"2831 Deans Lane","Mount Vernon",40.819734,-73.764333,914-803-5542,StephanieADawes@dayrep.com
Ellen,Vides,"3172 Jennifer Lane",Raleigh,35.762303,-78.646117,919-516-7033,EllenNVides@dayrep.com
Aili,Tervo,"2131 State Street","Maryland Heights",38.727494,-90.419072,314-228-1290,AiliTervo@fleckens.hu
Sirja,Waltari,"1680 Washington Avenue",Jackson,32.247109,-90.206238,601-916-4876,SirjaWaltari@gustr.com
Janina,Sandström,"3862 Water Street",Oakland,37.81173,-122.203592,925-271-7163,JaninaSandstrom@fleckens.hu
Belinda,Persson,"26 Lake Forest Drive","White Plains",40.992662,-73.795229,914-218-4213,BelindaPersson@rhyta.com
Mary,Orlando,"3114 Parrill Court",Merrillville,41.561389,-87.312525,219-660-5601,MaryROrlando@dayrep.com
Viviana,Pisani,"1422 Bridge Avenue",Washington,30.635319,-91.964258,337-826-2913,VivianaPisani@rhyta.com
Cosette,Batard,"1069 Ash Street",Farmersville,33.252115,-96.361433,972-784-6297,CosetteBatard@cuvox.de
Zara,Findlay,"2632 Kennedy Court",Charlestown,42.362545,-71.056614,774-324-0353,ZaraFindlay@armyspy.com
Melisande,Bouchard,"4884 Nutters Barn Lane","Des Moines",41.506376,-93.667014,515-633-5742,MelisandeBouchard@einrot.com
Fleurette,Lacroix,"4270 Poplar Chase Lane",Boise,43.618013,-116.132465,208-387-1556,FleuretteLacroix@rhyta.com
Armi,Luhtanen,"2378 Larry Street",Milwaukee,42.982876,-87.93774,414-958-5647,ArmiLuhtanen@superrito.com
Virginia,Barnhart,"3336 Oak Drive","North Greenbush",42.688342,-73.722894,518-593-7732,VirginiaJBarnhart@fleckens.hu
Prisca,Napolitano,"4592 New Creek Road",Boaz,34.235346,-86.213289,256-840-7944,PriscaNapolitano@dayrep.com
Catena,Marcelo,"1785 Coolidge Street",Broadus,45.344103,-105.45044,406-935-5274,CatenaMarcelo@gustr.com
Caitlin,Moyes,"716 Peck Street","North Stratford",44.681996,-71.449655,603-922-5079,CaitlinMoyes@superrito.com
Lea,Iversen,"4964 Trails End Road","Fort Lauderdale",26.129005,-80.060984,954-320-1271,LeaJIversen@superrito.com
Elisa,Svensson,"3403 Columbia Boulevard",Armiger,38.611516,-76.692467,410-437-8224,ElisaSvensson@superrito.com
Jasmine,Stump,"1244 White Oak Drive",Peculiar,38.709625,-94.535179,816-658-6341,JasmineStump@armyspy.com
Indiana,Ziesemer,"3925 Prudence Street",Detroit,42.429629,-82.88966,313-371-4342,IndianaZiesemer@fleckens.hu
Carolyn,Piper,"1133 Winding Way",Pawtucket,41.79442,-71.471075,401-722-5193,CarolynKPiper@jourrapide.com
Alexander,Ermakova,"4049 Shinn Avenue",Pittsburgh,40.524469,-79.899825,724-536-2194,AlexanderErmakova@armyspy.com
Juliette,Létourneau,"4455 Stoney Lane",Kaufman,32.581683,-96.23462,972-932-3587,JulietteLetourneau@dayrep.com
Marina,Komarova,"582 Jones Avenue",Greensboro,36.051022,-79.755839,336-792-7762,MarinaKomarova@rhyta.com
Luisella,Conti,"4164 Brownton Road",Jackson,32.355281,-90.306896,662-419-2177,LuisellaConti@jourrapide.com
Libby,Parsons,"3371 Robinson Court",Beaverton,43.788623,-84.48155,989-435-3796,LibbyParsons@gustr.com
Molly,Blom,"2966 Pleasant Hill Road",Miami,25.984748,-80.137884,561-902-8370,MollyBlom@einrot.com
Nicoline,Rasmussen,"966 Main Street",Bellevue,47.617494,-122.224514,425-709-9275,NicolineMRasmussen@teleworm.us
Hiba,Svensson,"2760 Stockert Hollow Road",Tukwila,47.545321,-122.2326,425-795-3955,HibaSvensson@armyspy.com
Kimberly,Miller,"1346 Andell Road",Westerville,40.07555,-82.87339,614-898-2856,KimberlyJMiller@dayrep.com
Isobel,Wallis,"4625 Norma Avenue",Dayton,39.743134,-84.104935,937-222-5485,IsobelWallis@fleckens.hu
Mathilde,Lauritsen,"4826 Thomas Street",Chicago,41.782694,-87.593476,847-521-6232,MathildeMLauritsen@cuvox.de
Andrée,Duplanty,"217 Church Street","New York",40.662197,-73.955471,718-427-9173,AndreeDuplanty@teleworm.us
Martine,Allard,"4376 Pearcy Avenue",Bluffton,40.756901,-85.229036,260-820-2525,MartineAllard@armyspy.com
Sofia,Nielsen,"4094 Vernon Street",Fullerton,33.882155,-117.984935,760-646-5838,SofiaANielsen@gustr.com
Bozena,Ershova,"1050 Oak Avenue","Schiller Park",41.976206,-87.82483,847-928-0312,BozenaErshova@einrot.com
Ella,Vuorela,"1057 Wescam Court",Reno,39.493875,-119.796457,775-854-5213,EllaVuorela@superrito.com
Cerys,Stevens,"2143 Duff Avenue","South Burlington",44.437077,-73.14063,802-542-0008,CerysStevens@dayrep.com
